Clip	Start	End
1	47	50
2	97	100
3	128	131
4	93	96
5	32	34
6	44	47
7	28	31
8	79	82
9	78	80
10	23	25
11	52	54
12	6	8
13	24	27
14	11	13
15	10	12
16	12	15
17	14	16
18	88	91
19	55	58
20	84	86
21	49	51
22	19	22
23	16	19
24	30	33
25	23	25
26	15	18
27	67	70
28	68	70
29	23	25
30	24	27
31	65	67
32	53	55
33	28	30
34	25	28
35	29	32
36	32	34
37	30	33
38	24	26
39	30	32
40	53	55
41	39	42
42	79	81
43	64	66
44	26	28
45	20	22
46	26	28
47	25	28
48	32	34
49	24	26
50	15	18
51	28	31
52	43	45
53	71	73
54	43	46
55	29	32
